N,GPUOne,CPU,SpeedupOne,GPUTwo,SpeedupTwo,EfficiencyOne,EfficiencyTwo
10,7,88,12.57142857,605,0.1454545455,0.02135093168,0.003787878788
33,13,84,6.461538462,666,0.1261261261,0.01097408027,0.003284534535
100,32,96,3,657,0.1461187215,0.005095108696,0.003805175038
333,95,492,5.178947368,788,0.6243654822,0.00879576659,0.01625951777
1000,261,4187,16.04214559,1036,4.041505792,0.02724549184,0.1052475467
3333,764,37246,48.7513089,2227,16.72474181,0.0827977393,0.4355401512
10000,1808,321685,177.9231195,14803,21.73106803,0.3021792111,0.5659132299
33333,11777,3560951,302.3648637,129982,27.39572402,0.5135272821,0.7134303131
50000,19940,8054302,403.9268806,331224,24.3167826,0.6860171207,0.6332495469
75000,43916,18142061,413.1082293,749560,24.20361412,0.7016104439,0.630302451
100000,75842,32220759,424.8405765,1341493,24.01858154,0.7215363051,0.6254838942
